№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
259;21902-1109010-00;;Воздухан Гранта в сборе АКПП;;16147;шт;19200;0;;;;;;0;1397;;
260;2123-1109010;;Воздухан Шеви;450;3411;шт;4100;0;;;;;;0;1797;;
261;11184-1109010-1.4;;Воздухан 1118 1.4;250;;шт;1900;0;;;;;;0;111657;;
262;11184-1109010-1.6;;Воздухан 1118 1.6;250;;шт;1900;0;;;;;;0;;;
263;2110-1201005;;Вставка катализатора 2110;280;;шт;2100;0;;;;;;0;9683;;
264;;;Втулка балки 2108;;314;шт;400;0;;;;;;0;237;;
265;2110-2914054;;Втулка балки 2110;47;;шт;450;9;;;;;;4050;4447;;
266;2121-290420;;Втулка балки 213 ст/об;140;;шт;1100;2;;;;;;2200;;;
267;21214-290420;;Втулка балки 214 н/об;170;;шт;1300;0;;;;;;0;4709;;
268;2108-1601216;;Втулка вилки сцепления 09 пластик ;15;;шт;150;5;;;;;;750;;;
269;2101-101129;;Втулка грибка 213;35;;шт;250;15;;;;;;3750;3479;;
270;2101-2906231;;Втулка заднего амортизатора 01;21;;кт;170;8;;;;;;1360;;;
271;2107-1701133;;Втулка КПП 07 5ой ск ст/об;80;;шт;600;0;;;;;;0;;;
272;2108-2904050;;Втулка передней балки 2110;55;;шт;400;5;;;;;;2000;;;
273;;;Втулка под штуцер вакума 08;6;;шт;50;0;;;;;;0;3368;;
274;2101-2402029-01;;Втулка распорная редуктора;70;;шт;550;3;;;;;;1650;442;;
275;;;Втулка сериги 08 метал;17;;шт;150;0;;;;;;0;4173;;
276;;;Втулка серьги 08 ;8;;шт;80;0;;;;;;0;;;
277;;;Втулка КПП 09 бронзовая;65;;шт;600;0;;;;;;0;7477;;
278;2108кпп кт;;Втулки КПП 09 на кожух;60;;кт;600;2;;;;;;1200;116066;;
279;2101-2905448;;Втулка переднего амортизатора 01 низ орех;35;;шт;130;10;;;;;;1300;;;
