№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
224;8200612908;;Резистор печки Ларгус Luzar;;3069;шт;4500;1;;;;;;4500;600602;;
225;6001547542;;Реле втягивающее Francecar;;3459;шт;5000;2;;;;;;10000;600792;;
226;6-1203;;Ремень генератора 6РК 1203 Дастер Francecar;;1047;шт;2000;3;;;;;;6000;600795;;
227;130C17480R;;Ремень ГРМ+ролик 8кл Дастер Asam;;9759;шт;14000;1;;;;;;14000;601018;;
228;6001546783;;Решетка бампера левая Логан Тайвань;;985;шт;1700;2;;;;;;3400;600626;;
229;6001546784;;Решетка бампера правая Логан Тайвань;;985;шт;1700;2;;;;;;3400;600627;;
230;8200735103;;Решетка бампера Сандеро Francecar;;1930;шт;3000;1;;;;;;3000;600796;;
231;8200735103Т;;Решетка бампера Сандеро Тайвань;;2198;шт;3500;1;;;;;;3500;600839;;
232;622540008R;;Решетка бампера Дастер Francecar;;2176;шт;3000;2;;;;;;6000;600797;;
233;8200752803;;Решетка бампера Логан после 2010 Тайвань;;1649;шт;2800;1;;;;;;2800;600833;;
234;623825665R;;Решетка радиатора Дастер хром Francecar;;12826;шт;18000;1;;;;;;18000;600800;;
235;8200989169;;Ролик ремня ГРМ натяжной 16кл Дастер Torque;;2511;шт;3500;1;;;;;;3500;600894;;
236;8200211784;;Ролик ремня ГРМ натяжной 8кл Ларгус Asam;;2798;шт;4000;2;;;;;;8000;600999;;
237;8200908180;;Ролик ремня ГРМ натяжной 8кл Ларгус Gates;;2662;шт;4000;1;;;;;;4000;600381;;
238;130775630R;;Ролик ремня ГРМ обводной 16кл Дастер Torque;;1713;шт;3000;2;;;;;;6000;600895;;
239;806074969R;;Ручка двери наружная левая Дастер задняя Francecar;;1236;шт;2000;2;;;;;;4000;600804;;
240;806079580R;;Ручка двери наружная левая Дастер передняя Francecar;;1341;шт;2500;2;;;;;;5000;600806;;
241;8200733838;;Ручка двери наружная правая Сандеро Asam;;2582;шт;4000;2;;;;;;8000;601040;;
242;806067380R;;Ручка двери наружная правая Дастер задняя Francecar;;1236;шт;2000;2;;;;;;4000;600805;;
243;806068777R;;Ручка двери наружная правая Дастер передняя Francecar;;1341;шт;2500;2;;;;;;5000;600807;;
244;6001548552;;Ручка стеклоподъемника Логан Francecar;;376;шт;800;4;;;;;;3200;600808;;
245;545011697R;;Рычаг передний левый в сборе Дастер Asam;;7721;шт;11000;1;;;;;;11000;601003;;
246;545000138R-A;;Рычаг передний правый в сборе Дастер Asam;;7823;шт;11000;1;;;;;;11000;601001;;
247;545000138R-Br;;Рычаг передний правый в сборе Дастер Breckner;;7422;шт;10000;1;;;;;;10000;600880;;
248;6001547519;;Рычаг передний правый в сборе Ларгус Francecar;;3593;шт;5000;2;;;;;;10000;600810;;
249;;;С;;;;;0;;;;;;0;;;
250;6001549988;;Сайлентблок балки задней Ларгус Sidem;;1795;шт;3000;2;;;;;;6000;600163;;
251;289132889R;;Сальник к/в задний 80-100-8 Ларгус 8-16кл Erling;;2451;шт;3500;2;;;;;;7000;600343;;
252;7700103245;;Сальник к/в передний 42-54-6 Дастер 2.0 Reinz;;1126;шт;1800;2;;;;;;3600;600705;;
253;8200068744;;Сальник первичного вала КПП 27 95-56-10 Ларгус Corteco;;525;шт;1200;2;;;;;;2400;601129;;
254;7701478550;;Сальник распредвала 28-42-6 16кл Ларгус Erling;;1057;шт;1800;1;;;;;;1800;600340;;
255;7700103938;;Сальники клапанов Ларгус 16кл Ajusa;;283;шт;400;31;;;;;;12400;600320;;
256;7700103938Tr;;Сальники клапанов Ларгус 16кл Trialli;;1408;кт;3000;2;;;;;;6000;601119;;
257;1134905917;;Сальники клапанов Ларгус 8кл Trialli;;631;кт;1500;2;;;;;;3000;601118;;
258;8200733829;;Стеклоподъемник Дастер передний левый электр Asam;;11067;шт;15000;1;;;;;;15000;601048;;
259;8200733828;;Сьеклоподъемник Дастер передний правый электр Asam;;11107;шт;15000;1;;;;;;15000;601049;;
260;8200901099;;Стеклоподъемник передний левый Ларгус электр Asam;;6653;шт;10000;1;;;;;;10000;600934;;
261;8200811407;;Стойка заднняя Дастер Asam;;9724;шт;14000;4;;;;;;56000;601016;;
262;8200813791;;Стойка передняя Дастер Asam;;10313;шт;14000;2;;;;;;28000;601057;;
263;430426964R;;Ступица задняя Дастер 4х2 Asam;;3653;шт;5000;1;;;;;;5000;601044;;
264;402020009R;;Ступица передняя Дастер Asam;;5411;шт;8000;2;;;;;;16000;601045;;
265;;;Т;;;;;0;;;;;;0;;;
266;6001549124;;Тройник омываетеля Renault Asam;;92;шт;300;5;;;;;;1500;601033;;
267;6001548721;;Трос газа Ларгус 1.6 16кл Npa;;1399;шт;3000;1;;;;;;3000;600490;;
268;6001546868;;Трос газа Ларгус 1.6 8кл Asam;;1034;шт;3000;1;;;;;;3000;600488;;
269;364002234R;;Трос ручника Дастер 4х2 Asam;;2212;шт;3000;2;;;;;;6000;601042;;
270;6001549112;;Трос ручника Ларгус Asam;;1891;шт;3000;2;;;;;;6000;600439;;
271;6001547168;;Трос ручника Логан Asam;;1119;шт;3000;2;;;;;;6000;600949;;
272;8200134513;;Трубка блока 16кл Ларгус Renault;;2837;шт;4000;1;;;;;;4000;600214;;
273;8200851609;;Тяга дроссельной заслонки Ларгус 8кл Renault;;806;шт;1500;2;;;;;;3000;600473;;
274;;;Ф;;;;;0;;;;;;0;;;
275;676512.095;;Фара левая Renault Дастер Bosch светлая;;12356;шт;17000;1;;;;;;17000;600582;;
276;676512.097;;Фара левая Renault Дастер Bosch темная;;10692;шт;15000;1;;;;;;15000;600584;;
277;676512.069;;Фара левая Renault Логан Bosch светлая с 04-09;;7278;шт;10000;1;;;;;;10000;600580;;
278;8200733878;;Фара левая Сандеро Francecar;;7497;шт;10000;1;;;;;;10000;600815;;
279;676512.096;;Фара правая Renault Дастер Bosch светлая;;12355;шт;17000;1;;;;;;17000;600583;;
280;676512.098;;Фара правая Renault Дастер Bosch темная;;10892;шт;15000;1;;;;;;15000;600585;;
281;676512.070;;Фара правая Renault Логан Bosch светлая c 04-09;;7278;шт;10000;1;;;;;;10000;600581;;
282;676512.072;;Фара правая Renault Логан Bosch темная c 04-09;;7568;шт;10000;1;;;;;;10000;120048;;
