№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
152;72305;;Метчик ручной М5х0.8 (к-кт из 2шт) Сервис Ключ;;219;шт;300;1;;;;;;300;Т0240;;
153;72306;;Метчик ручной М6х1.0 (к-кт из 2шт) Сервис Ключ;;195;шт;260;1;;;;;;260;Т0241;;
154;72308;;Метчик ручной М8х1.25 (к-кт из 2шт) Сервис Ключ;;277;шт;360;1;;;;;;360;Т0242;;
155;71405;;Молоток 500г Сервис Ключ;;468;шт;700;2;;;;;;1400;2928;;
156;;;Н;;;;;0;;;;;;0;;;
157;ANA-01;;Набор автомобилиста Airline (знак авар, огнетуш-2л,аптечка,перчатки);;3429;кт;4700;2;;;;;;9400;120227;;
158;АК-03-В;;Набор бит с адаптером 31шт Airline;;681;кт;1000;2;;;;;;2000;ц7034;;
159;73400;;Набор для ремонта Шин в блистере+жгуты+клей Сервис Ключ;;448;шт;600;2;;;;;;1200;120747;;
160;70011;;"Набор ключей ""Сервис ключ"" комбинир 6 ключей";;736;кт;1000;1;;;;;;1000;120695;;
161;70021;;"Набор ключей ""Сервис ключ"" комбинир 8 ключей";;1112;кт;1500;1;;;;;;1500;120696;;
162;AK-01-R;;Набор ключей комбинированных 7 предметов Airline (8,10,12,13,14,17,19мм);;1225;кт;1600;2;;;;;;3200;ц7018;;
163;АК-02-Т;;Набор ключей шестигранников с шаром Airline 1/5-10vv 10in;;613;кт;800;2;;;;;;1600;ц7074;;
164;70671;;Набор ключей шестигранников Сервис Ключ на кольце 8 пред;;183;шт;250;2;;;;;;500;119093;;
165;АК-08-О;;Набор отверток шлицевых и крестовых 6 штук Airline (SL4х75.5х100.6х150/РН1х75.1);;1425;кт;1900;2;;;;;;3800;ц7042;;
166;AS-R-01;;Набор резинок Airline 2шт 60см D-8мм металлические крючки;;213;шт;280;3;;;;;;840;122209;;
167;AS-R-02;;Набор резинок Airline 2шт 80см D-8мм металлические крючки;;245;шт;320;3;;;;;;960;122210;;
168;AS-R-05;;Набор резинок Airline 4шт 80см D-8мм металлические крючки;;543;шт;700;3;;;;;;2100;122213;;
169;РА-300-01;;Насос ножной Airline 300 инд уп;;1995;шт;2600;2;;;;;;5200;т8246;;
170;;;О;;;;;0;;;;;;0;;;
171;АО-ОР2;;Огнетушитель Airline АО-ОР2 4шт;;1280;шт;1800;4;;;;;;7200;117487;;
172;77751;;Оправка поршневых колец Сервис Ключ;;1114;шт;1500;1;;;;;;1500;118943;;
173;70803;;Отвертка 2 в 1 5*65 Сервис Ключ;;83;шт;100;3;;;;;;300;8465;;
174;70802;;Отвертка 2 в 1 6*38 Сервис Ключ;;75;шт;100;2;;;;;;200;8466;;
175;70801;;Отвертка 2 в 1 6*75 Сервис Ключ;;100;шт;130;3;;;;;;390;8467;;
176;АК-О-02;;Отвертка Airline PH1х100 крестовая;;302;шт;400;2;;;;;;800;ц7044;;
177;АК-О-01;;Отвертка Airline SL5х100 шлицевая;;302;шт;400;2;;;;;;800;ц7043;;
178;;;П;;;;;0;;;;;;0;;;
179;AFL-WL-15;;Переноска Airline 220В 5м;;1144;шт;1500;2;;;;;;3000;118685;;
180;AFL-24W-09;;Переноска Airline 24 диода с крючком и магнитом;;514;шт;700;2;;;;;;1400;117283;;
181;AFL-30W-14;;Переноска Airline 30 диодов 12в от прикуривателя 3м;;1194;шт;1600;2;;;;;;3200;118684;;
182;71200;;Плоскогубцы 200мм Сервис Ключ с синими ручками;;439;шт;800;3;;;;;;2400;у0275;;
183;71163;;Плоскогубцы БОКОРЕЗЫ 160мм Сервис Ключ с синими ручками;;287;шт;400;1;;;;;;400;ф4043;;
184;71202;;Плоскогубцы ТОНКОГУБЦЫ загнутые Сервис Ключ 200мм;;444;шт;600;1;;;;;;600;122492;;
185;71201;;Плоскогубцы ТОНКОГУБЦЫ Сервис Ключ 200мм;;444;шт;600;0;;;;;;0;120764;;
186;AN-R-02;;Полотенцо универсальное Airline 22х23см 70 шт;;324;кт;450;5;;;;;;2250;122131;;
187;AFU-V-01;;Предохранитель 2101 Airline 10шт;;77;кт;150;10;;;;;;1500;116248;;
188;AFU-S-03;;Предохранитель 2110 Airline 10шт;;83;кт;150;20;;;;;;3000;116247;;
189;AFU-SL-05;;Предохранитель 2110 Airline 10шт с индекатором;;361;кт;500;2;;;;;;1000;120797;;
190;2110-3722115-00;;Предохранитель вилочный АвтоВаз 15А;;8;шт;20;100;;;;;;2000;118687;;
191;2110-3722125-00;;Предохранитель вилочный АвтоВаз 25А;;8;шт;20;50;;;;;;1000;118688;;
192;2110-3722130-00;;Предохранитель вилочный АвтоВаз 30А;;10;шт;20;50;;;;;;1000;118689;;
193;2170-3722130-00;;Предохранитель вилочный АвтоВаз 30А MAXI;;52;шт;80;17;;;;;;1360;118760;;
194;2170-3722140-00;;Предохранитель вилочный АвтоВаз 40А MAXI;;52;шт;80;19;;;;;;1520;118762;;
195;217003722150-00;;Предохранитель вилочный АвтоВаз 50А MAXI;;52;шт;80;20;;;;;;1600;119956;;
196;2110-3722105-00;;Предохранитель вилочный АвтоВаз 5А;;8;шт;10;40;;;;;;400;118686;;
197;2170-3722160-00;;Предохранитель вилочный АвтоВаз 60А MAXI;;52;шт;80;20;;;;;;1600;118761;;
198;2110-3722107-00;;Предохранитель вилочный АвтоВаз 7.5А;;8;шт;10;40;;;;;;400;118793;;
